科目名稱,預算科目編號,人事費,業務費_經常門,奬補助費_經常門,債務費,預備金_經常門,經常支出小計,業務費_資本門,設備及投資,奬補助費_資本門,預備金_資本門,資本支出小計,合計
文化部主管,00610000000,712229,2685306,6300910,0,23000,9721445,0,4022820,32674,0,4055494,13776939
文化部,00610010000,712229,2685306,6300910,0,23000,9721445,0,4022820,32674,0,4055494,13776939
文化支出,53610010000,712229,2685306,6300910,0,23000,9721445,0,4022820,32674,0,4055494,13776939
一般行政,53610010100,461960,86617,2590,0,0,551167,0,841,0,0,841,552008
綜合規劃業務,53610012000,0,160470,32008,0,0,192478,0,37884,0,0,37884,230362
文化資源業務,53610013000,56664,971236,496539,0,0,1524439,0,228406,0,0,228406,1752845
文化資源業務推動與輔導,53610013001,0,841806,496383,0,0,1338189,0,200605,0,0,200605,1538794
臺灣歷史博物館業務,53610013004,56664,129430,156,0,0,186250,0,27801,0,0,27801,214051
文化創意產業發展業務,53610014000,0,342190,273598,0,0,615788,0,161264,5994,0,167258,783046
影視及流行音樂發展業務,53610015000,0,296556,2166164,0,0,2462720,0,2959585,13500,0,2973085,5435805
影視及流行音樂策劃與發展,53610015001,0,296556,767944,0,0,1064500,0,2959585,13500,0,2973085,4037585
影視及流行音樂推動與輔導,53610015002,0,0,1398220,0,0,1398220,0,0,0,0,0,1398220
人文及出版業務,53610016000,47520,345787,458072,0,0,851379,0,239864,2000,0,241864,1093243
人文文學及出版業務推展與輔導,53610016001,0,241738,445058,0,0,686796,0,236940,2000,0,238940,925736
臺灣文學館業務,53610016004,47520,104049,13014,0,0,164583,0,2924,0,0,2924,167507
藝術發展業務,53610017000,146085,249531,2682145,0,0,3077761,0,118535,11180,0,129715,3207476
視覺及表演藝術之策劃與發展,53610017001,0,152005,312465,0,0,464470,0,110239,4880,0,115119,579589
藝術業務推展與輔導,53610017002,0,0,2362080,0,0,2362080,0,0,6300,0,6300,2368380
交響樂團業務,53610017004,146085,97526,7600,0,0,251211,0,8296,0,0,8296,259507
文化交流業務,53610017100,0,219337,185750,0,0,405087,0,285,0,0,285,405372
蒙藏文化中心業務,53610017200,0,13582,4044,0,0,17626,0,1235,0,0,1235,18861
非營業特種基金,53610018100,0,0,0,0,0,0,0,274121,0,0,274121,274121
國立文化機構作業基金,53610018101,0,0,0,0,0,0,0,274121,0,0,274121,274121
一般建築及設備,53610019000,0,0,0,0,0,0,0,800,0,0,800,800
交通及運輸設備,53610019011,0,0,0,0,0,0,0,800,0,0,800,800
第一預備金,53610019800,0,0,0,0,23000,23000,0,0,0,0,0,23000

